"X","Ticker.Symbol","Period.Ending","After.Tax.ROE","Capital.Expenditures","Cash.Ratio","Cash.and.Cash.Equivalents","Current.Ratio","Depreciation","Gross.Margin","Gross.Profit","Interest.Expense","Investments","Liabilities","Long.Term.Debt","Long.Term.Investments","Net.Cash.Flow","Net.Income","Operating.Income","Operating.Margin","Profit.Margin","Quick.Ratio","Research.and.Development","Total.Assets","Total.Equity","Total.Liabilities","Earnings.Per.Share","Estimated.Shares.Outstanding"
674,"FSLR","2014-12-31",8,-257549000,199,1482054000,308,245798000,24,824941000,1982000,-125638000,-470289000,162074000,264156000,156982000,395964000,421999000,12,12,257,143969000,6720991000,4991487000,1729504000,3.97,99739042.8212
675,"FSLR","2015-12-31",10,-166438000,190,1126826000,348,257825000,26,919267000,6975000,11088000,-34060000,251325000,417692000,-355228000,546421000,516664000,14,15,309,130593000,7316331000,5548487000,1767844000,5.42,100815682.657
678,"FTR","2014-12-31",4,-6.88e+08,45,6.82e+08,94,1.149e+09,100,4.772e+09,6.96e+08,1.1e+07,9e+07,9.393e+09,0,-1.98e+08,1.33e+08,8.2e+08,17,3,94,0,1.881e+10,3.658e+09,1.5152e+10,0.13,1023076923.08
679,"FTR","2015-12-31",3,-8.63e+08,496,9.38e+09,535,1.511e+09,100,5.576e+09,1.113e+09,-8.444e+09,1.02e+08,1.5508e+10,0,2.54e+08,-1.96e+08,7.45e+08,13,4,535,0,2.7084e+10,5.614e+09,2.147e+10,-0.29,675862068.966
681,"GD","2014-12-31",21,-5.21e+08,32,4.388e+09,127,4.96e+08,19,5.873e+09,0,-5e+08,3.01e+08,3.392e+09,0,-9.13e+08,2.533e+09,3.889e+09,13,8,103,0,3.5337e+10,1.1829e+10,2.3508e+10,7.56,335052910.053
682,"GD","2015-12-31",28,-5.69e+08,22,2.785e+09,117,4.82e+08,19,6.13e+09,0,5e+08,-1.897e+09,2.898e+09,0,-1.603e+09,2.965e+09,4.178e+09,13,9,90,0,3.1997e+10,1.0738e+10,2.1259e+10,9.23,321235102.925
690,"GILD","2014-12-31",78,-5.57e+08,176,1.0027e+10,307,1.05e+09,85,2.1102e+10,4.12e+08,-1.266e+09,2.288e+09,1.1921e+10,1.598e+09,7.914e+09,1.2101e+10,1.5265e+10,61,49,283,2.854e+09,3.4664e+10,1.5426e+10,1.9238e+10,7.95,1522138364.78
691,"GILD","2015-12-31",98,-7.47e+08,148,1.2851e+10,250,1.098e+09,88,2.8633e+10,6.88e+08,-1.1728e+10,3.501e+09,2.1195e+10,1.1601e+10,2.824e+09,1.8108e+10,2.2193e+10,68,55,231,3.014e+09,5.1839e+10,1.8534e+10,3.3305e+10,12.37,1463864187.55
697,"GLW","2014-12-31",11,-1.076e+09,261,5.309e+09,441,1.2e+09,42,4.052e+09,1.23e+08,-3.17e+08,-3e+06,3.227e+09,1.801e+09,6.05e+08,2.472e+09,1.931e+09,20,25,384,8.15e+08,3.0063e+10,2.1579e+10,8.484e+09,1.82,1358241758.24
698,"GLW","2015-12-31",7,-1.25e+09,163,4.5e+09,294,1.184e+09,40,3.653e+09,1.4e+08,6.33e+08,-1.46e+08,3.89e+09,1.975e+09,-8.09e+08,1.339e+09,1.322e+09,15,15,245,7.69e+08,2.8527e+10,1.8788e+10,9.739e+09,1.02,1312745098.04
701,"GM","2014-12-31",11,-7.091e+09,45,2.0292e+10,127,7.238e+09,9,1.3808e+10,4.03e+08,-8.526e+09,0,3.1721e+10,2.4356e+10,-8.53e+08,3.949e+09,1.53e+09,1,3,107,0,1.77501e+11,3.5457e+10,1.42044e+11,1.75,2256571428.57
702,"GM","2015-12-31",24,-7.874e+09,33,1.5238e+10,97,8.017e+09,12,1.8302e+10,4.43e+08,-1.8973e+10,0,4.3549e+10,2.7701e+10,-3.857e+09,9.687e+09,4.897e+09,3,6,78,0,1.94338e+11,3.9871e+10,1.54467e+11,6.11,1585433715.22
706,"GPC","2014-12-31",22,-107681000,4,137730000,156,148313000,30,4593761000,25088000,0,292257000,5e+08,0,-59163000,711286000,1124226000,7,5,71,0,8246238000,3301248000,4944990000,4.64,153294396.552
707,"GPC","2015-12-31",22,-109544000,5,211631000,141,141675000,30,4555852000,21662000,0,331419000,2.5e+08,0,73901000,705672000,1124414000,7,5,65,0,8144771000,3146567000,4998204000,4.65,151757419.355
721,"GT","2014-12-31",68,-9.23e+08,46,2.161e+09,151,7.46e+08,23,4.232e+09,4.44e+08,2.3e+07,1.42e+08,6.216e+09,0,-8.35e+08,2.452e+09,1.417e+09,8,14,95,0,1.8044e+10,3.61e+09,1.4434e+10,9.13,268565169.77
722,"GT","2015-12-31",8,-9.83e+08,30,1.476e+09,124,7.21e+08,26,4.279e+09,4.38e+08,-8e+06,1.16e+08,5.074e+09,0,-6.85e+08,3.07e+08,1.551e+09,9,2,74,0,1.6391e+10,3.92e+09,1.2471e+10,1.14,269298245.614
726,"GWW","2014-12-31",25,-387390000,18,226644000,235,208326000,43,4314242000,10093000,0,74252000,403333000,0,-2.04e+08,801729000,1347117000,14,8,128,0,5283049000,3209872000,2073177000,11.59,69174201.8982
727,"GWW","2015-12-31",34,-373868000,16,290136000,170,227967000,42,4231428000,33571000,-20382000,-67954000,1388414000,0,63492000,768996000,1300320000,13,8,91,0,5857755000,2266634000,3591121000,11.69,65782378.1009
729,"HAL","2014-12-31",22,-3.283e+09,39,2.291e+09,250,2.126e+09,17,5.536e+09,0,0,4.89e+08,7.765e+09,0,-6.5e+07,3.5e+09,5.097e+09,16,11,189,0,3.2165e+10,1.6267e+10,1.5898e+10,4.13,847457627.119
730,"HAL","2015-12-31",4,-2.184e+09,189,1.0077e+10,376,1.835e+09,11,2.52e+09,0,0,-6.03e+08,1.4687e+10,0,7.786e+09,-6.71e+08,-1.65e+08,1,3,320,0,3.6942e+10,1.5462e+10,2.148e+10,-0.79,849367088.608
750,"HCA","2014-12-31",24,-2.176e+09,10,5.66e+08,163,1.862e+09,83,3.0656e+10,1.743e+09,-3.7e+07,4.44e+08,2.9088e+10,6.59e+08,1.52e+08,1.875e+09,5.565e+09,15,5,140,0,3.098e+10,-7.894e+09,3.8874e+10,4.3,436046511.628
751,"HCA","2015-12-31",28,-2.375e+09,13,7.41e+08,167,1.939e+09,83,3.304e+10,1.665e+09,6.3e+07,1.92e+08,3.0255e+10,6.1e+08,1.75e+08,2.129e+09,5.965e+09,15,5,141,0,3.2744e+10,-7.599e+09,4.0343e+10,5.14,414202334.63
766,"HES","2014-12-31",10,-5.214e+09,50,2.444e+09,130,3.224e+09,65,6.984e+09,3.23e+08,0,-2.9e+07,5.919e+09,0,6.3e+08,2.317e+09,2.057e+09,19,22,119,0,3.8407e+10,2.2205e+10,1.6202e+10,7.63,303669724.771
767,"HES","2015-12-31",16,-4.321e+09,103,2.716e+09,168,3.955e+09,50,3.313e+09,3.41e+08,0,-6.46e+08,6.544e+09,0,2.72e+08,-3.056e+09,-3.842e+09,58,46,152,0,3.4195e+10,1.9386e+10,1.4809e+10,-10.78,283487940.631
774,"HOG","2014-12-31",29,-232319000,44,1005307000,165,0,39,2440485000,4162000,-514168000,0,3761528000,4516246000,-159932000,844611000,1280983000,21,14,146,0,9528097000,2909286000,6618811000,3.9,216566923.077
775,"HOG","2015-12-31",41,-259974000,31,810476000,145,0,40,2375790000,12117000,-603438000,0,4845388000,4814571000,-184471000,752207000,1155695000,19,13,123,0,9991167000,1839654000,8151513000,3.71,202751212.938
781,"HON","2014-12-31",24,-1.094e+09,62,6.959e+09,150,9.24e+08,28,1.1349e+10,0,-7.86e+08,4.88e+08,6.046e+09,9.19e+08,5.37e+08,4.239e+09,5.831e+09,14,11,120,0,4.5451e+10,1.7657e+10,2.7794e+10,5.4,7.85e+08
782,"HON","2015-12-31",26,-1.073e+09,41,5.455e+09,109,8.83e+08,31,1.1834e+10,0,-1.27e+08,-6.84e+08,5.554e+09,9.43e+08,-1.504e+09,4.768e+09,6.828e+09,18,12,85,0,4.9316e+10,1.8283e+10,3.1033e+10,6.11,780360065.466
813,"HST","2014-12-31",10,-3.06e+08,110,6.84e+08,110,7.25e+08,62,3.321e+09,2.14e+08,-1.35e+08,-5.7e+07,3.957e+09,5.03e+08,-1.77e+08,7.32e+08,7.1e+08,13,14,110,0,1.2172e+10,7.336e+09,4.836e+09,0.34,2152941176.47
814,"HST","2015-12-31",8,-3.97e+08,47,2.54e+08,47,7.37e+08,63,3.375e+09,2.34e+08,-1.73e+08,-5.6e+07,4.017e+09,4.01e+08,-4.45e+08,5.58e+08,6.5e+08,12,10,47,0,1.1784e+10,7.064e+09,4.72e+09,0.22,2536363636.36
825,"IBM","2014-12-31",101,-3.74e+09,21,8.476e+09,120,4.492e+09,50,4.6407e+10,4.84e+08,-9.23e+08,-1.111e+09,3.4991e+10,1.6629e+10,-2.24e+09,1.2022e+10,1.8532e+10,20,13,114,5.437e+09,1.17271e+11,1.1868e+10,1.05403e+11,11.97,1004344193.82
826,"IBM","2015-12-31",92,-3.579e+09,24,7.686e+09,124,3.855e+09,50,4.0684e+10,4.68e+08,-6.29e+08,5.9e+07,3.3428e+10,1.52e+10,-7.9e+08,1.319e+10,1.5689e+10,19,16,120,5.247e+09,1.10495e+11,1.4262e+10,9.6233e+10,13.48,978486646.884
829,"IDXX","2014-12-31",155,-60523000,39,322536000,93,58888000,55,816116000,15429000,5400000,20898000,3.5e+08,0,43478000,181906000,260255000,18,12,73,98263000,1384211000,117516000,1266695000,3.63,50111845.73
830,"IDXX","2015-12-31",228,-82921000,40,128994000,96,70388000,56,890270000,29239000,-215183000,-2787000,597085000,0,-193542000,192078000,299912000,19,12,74,99681000,1474993000,-84125000,1559118000,2.07,92791304.3478
833,"IFF","2014-12-31",27,-143182000,92,478573000,330,89354000,44,1362150000,46067000,3304000,-42526000,934232000,0,73068000,414543000,592321000,19,13,220,253640000,3494621000,1518561000,1971932000,5.09,81442632.613
834,"IFF","2015-12-31",26,-101030000,25,181988000,196,89597000,45,1351599000,46062000,12128000,100998000,937844000,0,-296585000,419247000,588347000,19,14,117,246101000,3721454000,1590318000,2126464000,5.19,80779768.7861
849,"IP","2014-12-31",11,0,38,1.881e+09,162,1.414e+09,31,7.363e+09,6.07e+08,0,-3.6e+07,1.0681e+10,2.48e+08,7.9e+07,5.55e+08,1.517e+09,6,2,113,0,2.8684e+10,5.115e+09,2.3569e+10,1.3,426923076.923
850,"IP","2015-12-31",24,0,27,1.05e+09,165,1.294e+09,31,6.897e+09,5.55e+08,-1.98e+08,-1.06e+08,1.5177e+10,2.28e+08,-8.31e+08,9.38e+08,1.995e+09,9,4,108,0,3.0587e+10,3.884e+09,2.6703e+10,2.25,416888888.889
853,"IPG","2014-12-31",23,-148700000,22,1660600000,105,222400000,100,7537100000,84900000,-6e+05,-137300000,1612900000,0,23800000,477100000,788400000,10,6,105,0,12736600000,2116300000,10620300000,1.14,418508771.93
854,"IPG","2015-12-31",23,-161100000,20,1502900000,101,233100000,100,7613800000,85800000,1e+05,365600000,1610300000,0,-157700000,454600000,871900000,11,6,101,0,12585100000,1965500000,10619600000,1.11,409549549.55
857,"IRM","2014-12-31",38,-361924000,19,159793000,107,361152000,57,1773057000,260717000,0,-84557000,4564359000,0,5407000,326119000,549277000,18,10,107,0,6523265000,856355000,5666910000,1.67,195280838.323
858,"IRM","2015-12-31",24,-290249000,15,128381000,102,354713000,57,1717951000,263871000,0,-59452000,4757610000,0,2448000,123241000,524527000,17,4,102,0,6350587000,508841000,5841746000,0.58,212484482.759
860,"ISRG","2014-12-31",12,-105600000,246,600300000,362,74400000,66,1413800000,0,3.6e+07,122300000,0,1264500000,-181800000,418800000,544800000,26,20,325,1.78e+08,3959400000,3379400000,5.8e+08,11.35,36898678.4141
861,"ISRG","2015-12-31",14,-8.1e+07,317,714600000,446,89500000,66,1577900000,0,-768500000,7900000,0,1.788e+09,114300000,588800000,7.4e+08,31,25,412,197400000,4907300000,4319500000,587800000,15.87,37101449.2754
864,"ITW","2014-12-31",43,-3.61e+08,113,3.99e+09,223,5.07e+08,40,5.811e+09,2.5e+08,2.8e+07,1.8e+07,5.943e+09,0,3.72e+08,2.946e+09,2.888e+09,20,20,190,0,1.7465e+10,6.819e+09,1.0641e+10,7.33,401909959.072
865,"ITW","2015-12-31",36,-2.84e+08,130,3.09e+09,284,4.77e+08,41,5.517e+09,2.26e+08,2.2e+07,-1.13e+08,6.896e+09,0,-9e+08,1.899e+09,2.867e+09,21,14,238,0,1.5729e+10,5.224e+09,1.0501e+10,5.16,368023255.814
869,"IVZ","2014-12-31",12,-133200000,92,1918200000,131,89400000,100,5147100000,2.07e+08,-1754800000,165900000,1576800000,0,235700000,988100000,1276900000,25,19,131,0,2.045e+10,8.326e+09,1.2124e+10,2.27,435286343.612
870,"IVZ","2015-12-31",12,-124500000,67,2214700000,123,93600000,100,5122900000,270600000,-540300000,4442100000,2072800000,0,4.12e+08,968100000,1358400000,27,19,123,0,25073200000,7885300000,17187900000,2.26,428362831.858
873,"JBHT","2014-12-31",31,-808569000,1,5961000,112,294496000,37,2267038000,27028000,0,-15774000,683539000,0,130000,374792000,631542000,10,6,108,0,3378486000,1204523000,2173963000,3.2,117122500
874,"JBHT","2015-12-31",33,-725122000,1,5566000,161,339613000,41,2522068000,25577000,0,8568000,1005026000,0,-395000,427235000,715694000,12,7,157,0,3636567000,1300352000,2336215000,3.69,115781842.818
881,"JNPR","2014-12-31",7,-192900000,130,1639600000,186,186100000,62,2858200000,0,503700000,-26800000,1.349e+09,1133100000,-644400000,-334300000,-419700000,9,7,186,1006200000,8281400000,4919100000,3362300000,-0.73,457945205.479
882,"JNPR","2015-12-31",14,-210300000,108,1420900000,162,176500000,63,3078600000,0,-304200000,164800000,1648800000,1244200000,-218700000,633700000,9.12e+08,19,13,162,994500000,8619200000,4574400000,4044800000,1.62,391172839.506
908,"KMB","2014-12-31",209,-1.039e+09,13,7.89e+08,89,8.62e+08,34,6.683e+09,2.84e+08,-2.4e+07,0,5.702e+09,2.57e+08,-2.65e+08,1.526e+09,2.521e+09,13,8,59,0,1.5526e+10,7.29e+08,1.4797e+10,4.07,374938574.939
909,"KMB","2015-12-31",582,-1.056e+09,10,6.19e+08,85,7.46e+08,36,6.624e+09,2.95e+08,-1.46e+08,0,6.17e+09,2.47e+08,-1.7e+08,1.013e+09,1.613e+09,9,5,55,0,1.4842e+10,-1.74e+08,1.5016e+10,2.78,364388489.209
921,"KO","2014-12-31",23,-2.406e+09,67,8.958e+09,102,1.976e+09,61,2.8109e+10,4.83e+08,-4.814e+09,0,1.9063e+10,1.3625e+10,-1.456e+09,7.098e+09,9.708e+09,21,15,92,0,9.2023e+10,3.032e+10,6.1703e+10,1.62,4381481481.48
922,"KO","2015-12-31",29,-2.553e+09,74,7.309e+09,124,1.97e+09,61,2.6812e+10,8.56e+08,-1.752e+09,0,2.8407e+10,1.5788e+10,-1.649e+09,7.351e+09,8.728e+09,20,17,113,0,9.0093e+10,2.5554e+10,6.4539e+10,1.69,4349704142.01
936,"KSU","2014-12-31",13,-970300000,39,3.48e+08,80,258100000,66,1699200000,72800000,-26700000,-26100000,1826500000,36400000,-81500000,502600000,809100000,31,20,68,0,7976400000,3755500000,4220900000,4.56,110219298.246
937,"KSU","2015-12-31",12,-832200000,18,136600000,71,284600000,69,1659600000,81900000,-17400000,-31400000,2.045e+09,34700000,-211400000,483500000,803800000,33,20,53,0,8.341e+09,3914300000,4426700000,4.41,109637188.209
945,"LEG","2014-12-31",9,-94100000,34,332800000,144,117900000,21,790400000,41800000,0,171800000,766700000,0,60100000,101200000,331500000,9,3,96,0,3140600000,1146500000,1985700000,0.69,146666666.667
946,"LEG","2015-12-31",30,-103200000,36,253200000,187,113200000,24,923200000,41100000,0,-104900000,945400000,0,-79600000,329200000,486500000,12,8,115,0,2967600000,1085600000,1869900000,2.31,142510822.511
961,"LLL","2014-12-31",13,-1.74e+08,17,4.42e+08,215,2.36e+08,9,1.012e+09,1.58e+08,0,-7.9e+07,3.939e+09,0,-5.8e+07,6.64e+08,1.012e+09,9,6,204,0,1.3715e+10,5.285e+09,8.43e+09,7.78,85347043.7018
962,"LLL","2015-12-31",6,-1.97e+08,7,2.07e+08,147,2.85e+08,9,8.9e+08,1.69e+08,0,-3.4e+07,3.143e+09,0,-2.35e+08,-2.4e+08,4.75e+08,5,2,135,0,1.2085e+10,4.355e+09,7.73e+09,-2.97,80808080.8081
969,"LLY","2014-12-31",16,-1162600000,50,3871600000,122,1.379e+09,75,14683100000,0,3.623e+09,-371700000,5332800000,4568900000,41400000,2390500000,3000300000,15,12,94,4733600000,36307600000,15373200000,20919500000,2.23,1071973094.17
970,"LLY","2015-12-31",17,-1066200000,54,3666400000,153,1427700000,75,14921500000,0,1161500000,461600000,7972400000,3646600000,-205200000,2408400000,2.79e+09,14,12,111,4796400000,35568900000,14571300000,20978600000,2.27,1060969163
972,"LMT","2014-12-31",106,-8.45e+08,13,1.446e+09,111,9.94e+08,12,4.683e+09,3.4e+08,0,-1.357e+09,6.142e+09,0,-1.171e+09,3.614e+09,5.012e+09,13,9,86,0,3.7046e+10,3.4e+09,3.3646e+10,11.41,316739702.016
973,"LMT","2015-12-31",116,-9.39e+08,8,1.09e+09,105,1.026e+09,11,4.492e+09,4.43e+08,0,8.76e+08,1.4305e+10,0,-3.56e+08,3.605e+09,4.712e+09,12,9,70,0,4.9304e+10,3.097e+09,4.6207e+10,11.62,310240963.855
977,"LNT","2014-12-31",11,0,5,56900000,86,442300000,31,1032800000,180600000,-902800000,215100000,3584300000,344900000,47100000,393300000,543600000,16,12,67,0,12063500000,3638700000,8424800000,3.46,113670520.231
978,"LNT","2015-12-31",10,0,0,5800000,61,413700000,33,1.082e+09,187100000,-1034300000,30100000,3522200000,346300000,-51100000,388400000,5.77e+08,18,12,44,0,12495200000,3924100000,8571100000,3.36,115595238.095
989,"LUK","2014-12-31",2,-600837000,87,7721449000,131,139744000,25,2657611000,965596000,1058274000,3898726000,8527929000,1994038000,369180000,199025000,-444719000,4,2,131,0,52623908000,10302158000,42196750000,0.54,368564814.815
990,"LUK","2015-12-31",2,-295894000,81,4389732000,133,172073000,24,2439269000,908881000,1067441000,-5472653000,7407594000,2361089000,-638127000,252111000,-412289000,4,2,133,0,46339812000,10401211000,35813601000,0.74,340690540.541
992,"LUV","2014-12-31",17,-1.748e+09,50,1.282e+09,66,9.38e+08,59,1.0928e+10,1.07e+08,1.05e+08,3.62e+08,2.434e+09,0,-7.3e+07,1.136e+09,2.225e+09,12,6,61,0,1.9723e+10,6.775e+09,1.2948e+10,1.65,688484848.485
993,"LUV","2015-12-31",30,-2.041e+09,41,1.583e+09,54,1.015e+09,70,1.3795e+10,9e+07,2.37e+08,1.055e+09,2.541e+09,0,3.01e+08,2.181e+09,4.116e+09,21,11,50,0,2.1312e+10,7.358e+09,1.3954e+10,3.3,660909090.909
997,"LVLT","2014-12-31",5,-9.1e+08,31,5.87e+08,78,8.44e+08,44,3.002e+09,6.54e+08,0,-3e+07,1.0984e+10,0,-5.1e+07,3.14e+08,1.013e+09,15,5,78,0,2.0947e+10,6.363e+09,1.4584e+10,1.23,255284552.846
998,"LVLT","2015-12-31",34,-1.229e+09,61,8.62e+08,124,1.19e+09,48,3.964e+09,6.42e+08,0,2.3e+07,1.0994e+10,0,2.74e+08,3.433e+09,1.331e+09,16,42,124,0,2.4145e+10,1.0126e+10,1.4019e+10,9.71,353553038.105
1001,"LYB","2014-12-31",50,-1.499e+09,48,1.033e+09,214,1.039e+09,15,6.669e+09,3.52e+08,-1.688e+09,-3.78e+08,6.695e+09,2.064e+09,-3.419e+09,4.174e+09,5.736e+09,13,9,131,1.27e+08,2.4221e+10,8.314e+09,1.5907e+10,8.03,519800747.198
1002,"LYB","2015-12-31",68,-1.44e+09,46,9.31e+08,225,1.063e+09,22,7.052e+09,3.1e+08,4.16e+08,-7.86e+08,7.671e+09,2.127e+09,-1.07e+08,4.476e+09,6.122e+09,19,14,132,1.02e+08,2.2757e+10,6.55e+09,1.6207e+10,9.62,465280665.281
1008,"MA","2014-12-31",53,-1.75e+08,126,6.627e+09,177,1.012e+09,100,9.441e+09,4.8e+07,1.45e+09,1.7e+08,1.494e+09,0,1.538e+09,3.617e+09,5.106e+09,54,38,177,0,1.5329e+10,6.79e+09,8.539e+09,3.11,1163022508.04
1009,"MA","2015-12-31",63,-1.77e+08,130,7.183e+09,175,1.13e+09,100,9.667e+09,6.1e+07,2.1e+08,1.25e+08,3.268e+09,0,6.1e+08,3.808e+09,5.078e+09,53,39,175,0,1.625e+10,6.028e+09,1.0222e+10,3.36,1133333333.33
1021,"MAR","2014-12-31",34,-4.11e+08,3,1.04e+08,53,1.48e+08,14,1.966e+09,1.15e+08,-7.5e+07,0,3.447e+09,4.39e+08,-2.2e+07,7.53e+08,1.159e+09,8,5,53,0,6.833e+09,-2.2e+09,9.033e+09,2.6,289615384.615
1022,"MAR","2015-12-31",24,-3.05e+08,3,9.6e+07,43,1.39e+08,15,2.123e+09,1.67e+08,1.4e+08,0,3.807e+09,3.8e+08,-8e+06,8.59e+08,1.35e+09,9,6,43,0,6.082e+09,-3.59e+09,9.672e+09,3.22,266770186.335
1024,"MAS","2014-12-31",93,-1.28e+08,62,1.379e+09,164,1.82e+08,29,2.06e+09,2.25e+08,4.3e+07,6.3e+07,2.919e+09,0,1.6e+08,8.56e+08,7.21e+08,10,12,132,0,7.208e+09,9.24e+08,6.284e+09,2.4,356666666.667
1025,"MAS","2015-12-31",263,-1.58e+08,61,1.468e+09,138,1.53e+08,32,2.253e+09,2.25e+08,3.5e+07,8.2e+07,2.403e+09,0,8.5e+07,3.55e+08,9.14e+08,13,5,110,0,5.664e+09,-1.35e+08,5.799e+09,1.03,344660194.175
1029,"MAT","2014-12-31",17,-260457000,89,971650000,293,248701000,50,3001022000,79271000,-19933000,-34653000,2.1e+09,0,-67566000,498874000,653714000,11,8,241,0,6721983000,2949071000,3772912000,1.46,341694520.548
1030,"MAT","2015-12-31",14,-254181000,54,892814000,194,265427000,49,2806358000,85270000,-61509000,248047000,1.8e+09,0,-78836000,369416000,540922000,9,6,159,0,6552689000,2633254000,3919435000,1.08,342051851.852
1033,"MCD","2014-12-31",37,-2583400000,76,2077900000,152,1644500000,38,10455700000,0,0,-85700000,14935700000,1004500000,-720800000,4757800000,7949200000,29,17,148,0,34227400000,12853400000,2.1374e+10,4.85,980989690.722
1034,"MCD","2015-12-31",64,-1813900000,260,7685500000,327,1555700000,39,9789200000,0,0,303600000,24122100000,792700000,5607600000,4529300000,7145500000,28,18,323,0,37938700000,7087900000,30850800000,4.82,939688796.68
1045,"MCO","2014-12-31",526,-74600000,140,1219500000,224,95600000,72,2.404e+09,116800000,-250600000,115600000,2547300000,0,-7e+08,988700000,1439100000,43,30,224,0,4.669e+09,-187800000,4856800000,4.69,210810234.542
1046,"MCO","2015-12-31",167,-8.9e+07,183,1757400000,266,113500000,72,2508200000,115100000,4600000,103500000,3.401e+09,0,537900000,941300000,1473400000,42,27,266,0,5123400000,-5.65e+08,5688400000,4.7,200276595.745
1049,"MDLZ","2014-12-31",8,-1.642e+09,12,1.631e+09,84,1.059e+09,37,1.2597e+10,6.88e+08,0,5.16e+08,1.3821e+10,6.62e+08,-9.91e+08,2.184e+09,3.242e+09,9,6,59,0,6.6771e+10,2.775e+10,3.9021e+10,1.29,1693023255.81
1050,"MDLZ","2015-12-31",26,-1.514e+09,17,1.87e+09,82,8.94e+08,39,1.1512e+10,1.013e+09,-5.44e+08,6e+08,1.4557e+10,5.387e+09,2.39e+08,7.267e+09,8.897e+09,30,25,58,0,6.2843e+10,2.8012e+10,3.4831e+10,4.49,1618485523.39
1057,"MHK","2014-12-31",12,-561804000,5,97877000,153,345570000,28,2154192000,98207000,-3867000,-65079000,1402135000,0,43811000,531965000,772796000,10,7,74,0,8285544000,4418006000,3867538000,7.3,72871917.8082
1058,"MHK","2015-12-31",13,-503657000,3,81692000,100,362647000,30,2410686000,71086000,0,-23725000,1196928000,0,-16185000,615302000,837566000,10,8,50,0,9942364000,4854173000,5088191000,2.59,237568339.768
