Ticker.Symbol,Sector,After.Tax.ROE,Capital.Expenditures,Cash.Ratio,Cash.and.Cash.Equivalents,Current.Ratio,Depreciation,Gross.Margin,Gross.Profit,Interest.Expense,Investments,Liabilities,Long.Term.Debt,Long.Term.Investments,Net.Cash.Flow,Net.Income,Operating.Income,Operating.Margin,Profit.Margin,Quick.Ratio,Research.and.Development,Total.Assets,Total.Equity,Total.Liabilities,Earnings.Per.Share,Estimated.Shares.Outstanding,wide$percent_change,Returns
ES,Utilities,8,-1724139000,1,23947000,88,688195000,44,3538633000,372420000,82051000,-61336000,8805574000,516478000,-14756000,878485000,1764164000,22,11,76,0,30580309000,10352215000,20228094000,2.77,317142599.3,-0.04577728,High
ETN,Industrials,13,-5.06E+08,10,2.68E+08,143,9.25E+08,31,6.56E+09,2.32E+08,3.70E+07,-2.33E+08,7.78E+09,0,-5.13E+08,1.98E+09,2.34E+09,11,9,93,6.25E+08,3.10E+10,1.52E+10,1.58E+10,4.25,465647058.8,-0.234255418,Low
ETR,Utilities,2,-2500860000,44,1350961000,132,2117236000,35,4063978000,670096000,-58211000,-520388000,13138557000,5822998000,-71065000,-156734000,-299165000,3,1,96,0,44647681000,9256791000,35390890000,-0.99,158317171.7,-0.218564259,Low
EW,Health Care,20,-102700000,257,718400000,430,65800000,75,1876500000,17200000,119600000,163900000,599900000,383500000,64600000,494900000,635700000,25,20,359,383100000,4059300000,2503100000,1556200000,2.3,215173913,-0.37996542,Low
EXPD,Industrials,27,-44383000,94,807796000,231,46012000,33,2187777000,0,40294000,-65782000,0,0,-119311000,457223000,721484000,11,7,231,0,2582438000,1691993000,890445000,2.42,188935124,0.010984017,High
EXPE,Consumer Discretionary,16,-787041000,29,1687623000,50,671206000,80,5362758000,126195000,-56180000,325589000,3183140000,642802000,273599000,764465000,413566000,6,11,50,0,15485675000,4864394000,10621281000,5.87,130232538.3,0.456185585,High
F,Consumer Discretionary,26,-7.20E+09,43,1.43E+10,125,7.97E+09,12,1.81E+10,7.73E+08,3.78E+10,7.76E+09,8.99E+10,4.88E+10,3.52E+09,7.37E+09,7.65E+09,5,5,114,0,2.25E+11,2.86E+10,1.96E+11,1.86,3963978495,-0.090967742,Low
FAST,Industrials,29,-155168000,35,129019000,446,86598000,50,1948934000,3108000,0,5148000,302950000,0,14523000,516361000,828755000,21,13,201,0,2532462000,1801289000,731173000,1.77,291729378.5,-0.141715746,Low
FB,Information Technology,8,-2.52E+09,958,4.91E+09,1125,1.95E+09,84,1.51E+10,0,-6.70E+09,1.90E+09,1.07E+08,0,5.92E+08,3.67E+09,6.23E+09,35,20,1125,4.82E+09,4.94E+10,4.42E+10,5.19E+09,1.31,2800763359,0.341451013,High
FBHS,Industrials,13,-128500000,31,238500000,187,115700000,35,1581900000,31900000,0,41200000,1171600000,0,46600000,3.15E+08,496100000,11,7,114,0,4878600000,2450900000,2427700000,1.97,159898477.2,0.225977469,High
FCX,Materials,155,-6.35E+09,5,2.24E+08,173,3.71E+09,80,-1.26E+10,6.45E+08,0,-9.16E+08,1.98E+10,0,-2.40E+08,-1.22E+10,-1.34E+10,84,77,62,1.27E+08,4.66E+10,7.83E+09,3.87E+10,-11.31,1074801061,-0.710188369,Low
FIS,Information Technology,7,-133300000,29,687600000,149,680300000,33,2.20E+09,199100000,0,91100000,11497800000,0,194800000,650800000,1099200000,17,10,149,0,26268800000,9.32E+09,16947800000,2.22,293153153.2,-0.02572352,High
FISV,Information Technology,27,-3.59E+08,18,2.75E+08,100,4.17E+08,45,2.35E+09,1.69E+08,1.00E+06,1.44E+08,4.29E+09,0,-1.90E+07,7.12E+08,1.31E+09,25,14,100,0,9.34E+09,2.66E+09,6.68E+09,3.04,234210526.3,0.288713509,High
FLIR,Industrials,15,-68234000,81,472785000,220,49534000,48,753561000,14086000,0,16460000,93750000,0,-58589000,241686000,305764000,20,16,153,132892000,2406400000,1649515000,756885000,1.73,139702890.2,-0.131228749,Low
FLR,Industrials,14,-240220000,73,1949886000,174,250791000,6,1094696000,44770000,-65719000,0,986564000,558564000,-43239000,412512000,686471000,4,2,127,0,7625406000,2997347000,4628059000,2.85,144741052.6,-0.221177631,Low
FLS,Industrials,16,-181861000,27,366444000,184,127087000,33,1487318000,65270000,0,-101670000,1560562000,0,-83906000,267669000,525568000,12,6,110,0,4980657000,1666477000,3314180000,2.01,133168656.7,-0.296673899,Low
FMC,Materials,26,-108500000,5,78600000,204,115700000,33,1075400000,81400000,66400000,-585500000,2036300000,2500000,-30900000,4.89E+08,-50200000,2,15,149,143700000,6325900000,1865700000,4460200000,3.66,133606557.4,-0.313869863,Low
FSLR,Information Technology,10,-166438000,190,1126826000,348,257825000,26,919267000,6975000,11088000,-34060000,251325000,417692000,-355228000,546421000,516664000,14,15,309,130593000,7316331000,5548487000,1767844000,5.42,100815682.7,0.479596434,High
FTR,Telecommunications Services,3,-8.63E+08,496,9.38E+09,535,1.51E+09,100,5.58E+09,1.11E+09,-8.44E+09,1.02E+08,1.55E+10,0,2.54E+08,-1.96E+08,7.45E+08,13,4,535,0,2.71E+10,5.61E+09,2.15E+10,-0.29,675862069,-0.299850075,Low
GD,Industrials,28,-5.69E+08,22,2.79E+09,117,4.82E+08,19,6.13E+09,0,5.00E+08,-1.90E+09,2.90E+09,0,-1.60E+09,2.97E+09,4.18E+09,13,9,90,0,3.20E+10,1.07E+10,2.13E+10,9.23,321235102.9,-0.001889217,High
GILD,Health Care,98,-7.47E+08,148,1.29E+10,250,1.10E+09,88,2.86E+10,6.88E+08,-1.17E+10,3.50E+09,2.12E+10,1.16E+10,2.82E+09,1.81E+10,2.22E+10,68,55,231,3.01E+09,5.18E+10,1.85E+10,3.33E+10,12.37,1463864188,0.073520049,High
GLW,Industrials,7,-1.25E+09,163,4.50E+09,294,1.18E+09,40,3.65E+09,1.40E+08,6.33E+08,-1.46E+08,3.89E+09,1.98E+09,-8.09E+08,1.34E+09,1.32E+09,15,15,245,7.69E+08,2.85E+10,1.88E+10,9.74E+09,1.02,1312745098,-0.20279106,Low
GM,Consumer Discretionary,24,-7.87E+09,33,1.52E+10,97,8.02E+09,12,1.83E+10,4.43E+08,-1.90E+10,0,4.35E+10,2.77E+10,-3.86E+09,9.69E+09,4.90E+09,3,6,78,0,1.94E+11,3.99E+10,1.54E+11,6.11,1585433715,-0.025780636,High
GPC,Consumer Discretionary,22,-109544000,5,211631000,141,141675000,30,4555852000,21662000,0,331419000,2.50E+08,0,73901000,705672000,1124414000,7,5,65,0,8144771000,3146567000,4998204000,4.65,151757419.4,-0.194050868,Low
GT,Consumer Discretionary,8,-9.83E+08,30,1.48E+09,124,7.21E+08,26,4.28E+09,4.38E+08,-8.00E+06,1.16E+08,5.07E+09,0,-6.85E+08,3.07E+08,1.55E+09,9,2,74,0,1.64E+10,3.92E+09,1.25E+10,1.14,269298245.6,0.143507105,High
GWW,Industrials,34,-373868000,16,290136000,170,227967000,42,4231428000,33571000,-20382000,-67954000,1388414000,0,63492000,768996000,1300320000,13,8,91,0,5857755000,2266634000,3591121000,11.69,65782378.1,-0.205186564,Low
HAL,Energy,4,-2.18E+09,189,1.01E+10,376,1.84E+09,11,2.52E+09,0,0,-6.03E+08,1.47E+10,0,7.79E+09,-6.71E+08,-1.65E+08,1,3,320,0,3.69E+10,1.55E+10,2.15E+10,-0.79,849367088.6,-0.134502943,Low
HCA,Health Care,28,-2.38E+09,13,7.41E+08,167,1.94E+09,83,3.30E+10,1.67E+09,6.30E+07,1.92E+08,3.03E+10,6.10E+08,1.75E+08,2.13E+09,5.97E+09,15,5,141,0,3.27E+10,-7.60E+09,4.03E+10,5.14,414202334.6,-0.078484836,Low
HES,Energy,16,-4.32E+09,103,2.72E+09,168,3.96E+09,50,3.31E+09,3.41E+08,0,-6.46E+08,6.54E+09,0,2.72E+08,-3.06E+09,-3.84E+09,58,46,152,0,3.42E+10,1.94E+10,1.48E+10,-10.78,283487940.6,-0.343267407,Low
HOG,Consumer Discretionary,41,-259974000,31,810476000,145,0,40,2375790000,12117000,-603438000,0,4845388000,4814571000,-184471000,752207000,1155695000,19,13,123,0,9991167000,1839654000,8151513000,3.71,202751212.9,-0.311333694,Low
HON,Industrials,26,-1.07E+09,41,5.46E+09,109,8.83E+08,31,1.18E+10,0,-1.27E+08,-6.84E+08,5.55E+09,9.43E+08,-1.50E+09,4.77E+09,6.83E+09,18,12,85,0,4.93E+10,1.83E+10,3.10E+10,6.11,780360065.5,0.036529244,High
HST,Real Estate,8,-3.97E+08,47,2.54E+08,47,7.37E+08,63,3.38E+09,2.34E+08,-1.73E+08,-5.60E+07,4.02E+09,4.01E+08,-4.45E+08,5.58E+08,6.50E+08,12,10,47,0,1.18E+10,7.06E+09,4.72E+09,0.22,2536363636,-0.354648717,Low
IBM,Information Technology,92,-3.58E+09,24,7.69E+09,124,3.86E+09,50,4.07E+10,4.68E+08,-6.29E+08,5.90E+07,3.34E+10,1.52E+10,-7.90E+08,1.32E+10,1.57E+10,19,16,120,5.25E+09,1.10E+11,1.43E+10,9.62E+10,13.48,978486646.9,-0.142233899,Low
IFF,Materials,26,-101030000,25,181988000,196,89597000,45,1351599000,46062000,12128000,100998000,937844000,0,-296585000,419247000,588347000,19,14,117,246101000,3721454000,1590318000,2126464000,5.19,80779768.79,0.180347256,High
IP,Materials,24,0,27,1.05E+09,165,1.29E+09,31,6.90E+09,5.55E+08,-1.98E+08,-1.06E+08,1.52E+10,2.28E+08,-8.31E+08,9.38E+08,2.00E+09,9,4,108,0,3.06E+10,3.88E+09,2.67E+10,2.25,416888888.9,-0.296379254,Low
IPG,Consumer Discretionary,23,-161100000,20,1502900000,101,233100000,100,7613800000,85800000,1.00E+05,365600000,1610300000,0,-157700000,454600000,871900000,11,6,101,0,12585100000,1965500000,10619600000,1.11,409549549.6,0.120847424,High
IRM,Real Estate,24,-290249000,15,128381000,102,354713000,57,1717951000,263871000,0,-59452000,4757610000,0,2448000,123241000,524527000,17,4,102,0,6350587000,508841000,5841746000,0.58,212484482.8,-0.301345059,Low
ISRG,Health Care,14,-8.10E+07,317,714600000,446,89500000,66,1577900000,0,-768500000,7900000,0,1.79E+09,114300000,588800000,7.40E+08,31,25,412,197400000,4907300000,4319500000,587800000,15.87,37101449.28,0.032555622,High
ITW,Industrials,36,-2.84E+08,130,3.09E+09,284,4.77E+08,41,5.52E+09,2.26E+08,2.20E+07,-1.13E+08,6.90E+09,0,-9.00E+08,1.90E+09,2.87E+09,21,14,238,0,1.57E+10,5.22E+09,1.05E+10,5.16,368023255.8,-0.021330486,High
IVZ,Financials,12,-124500000,67,2214700000,123,93600000,100,5122900000,270600000,-540300000,4442100000,2072800000,0,4.12E+08,968100000,1358400000,27,19,123,0,25073200000,7885300000,17187900000,2.26,428362831.9,-0.152834008,Low
JBHT,Industrials,33,-725122000,1,5566000,161,339613000,41,2522068000,25577000,0,8568000,1005026000,0,-395000,427235000,715694000,12,7,157,0,3636567000,1300352000,2336215000,3.69,115781842.8,-0.129258148,Low
JNPR,Information Technology,14,-210300000,108,1420900000,162,176500000,63,3078600000,0,-304200000,164800000,1648800000,1244200000,-218700000,633700000,9.12E+08,19,13,162,994500000,8619200000,4574400000,4044800000,1.62,391172839.5,0.23655914,High
KMB,Consumer Staples,582,-1.06E+09,10,6.19E+08,85,7.46E+08,36,6.62E+09,2.95E+08,-1.46E+08,0,6.17E+09,2.47E+08,-1.70E+08,1.01E+09,1.61E+09,9,5,55,0,1.48E+10,-1.74E+08,1.50E+10,2.78,364388489.2,0.101782949,High
KO,Consumer Staples,29,-2.55E+09,74,7.31E+09,124,1.97E+09,61,2.68E+10,8.56E+08,-1.75E+09,0,2.84E+10,1.58E+10,-1.65E+09,7.35E+09,8.73E+09,20,17,113,0,9.01E+10,2.56E+10,6.45E+10,1.69,4349704142,0.01752719,High
KSU,Industrials,12,-832200000,18,136600000,71,284600000,69,1659600000,81900000,-17400000,-31400000,2.05E+09,34700000,-211400000,483500000,803800000,33,20,53,0,8.34E+09,3914300000,4426700000,4.41,109637188.2,-0.388101298,Low
LEG,Industrials,30,-103200000,36,253200000,187,113200000,24,923200000,41100000,0,-104900000,945400000,0,-79600000,329200000,486500000,12,8,115,0,2967600000,1085600000,1869900000,2.31,142510822.5,-0.013846538,High
LLL,Industrials,6,-1.97E+08,7,2.07E+08,147,2.85E+08,9,8.90E+08,1.69E+08,0,-3.40E+07,3.14E+09,0,-2.35E+08,-2.40E+08,4.75E+08,5,2,135,0,1.21E+10,4.36E+09,7.73E+09,-2.97,80808080.81,-0.053086103,High
LLY,Health Care,17,-1066200000,54,3666400000,153,1427700000,75,14921500000,0,1161500000,461600000,7972400000,3646600000,-205200000,2408400000,2.79E+09,14,12,111,4796400000,35568900000,14571300000,20978600000,2.27,1060969163,0.22133649,High
LMT,Industrials,116,-9.39E+08,8,1.09E+09,105,1.03E+09,11,4.49E+09,4.43E+08,0,8.76E+08,1.43E+10,0,-3.56E+08,3.61E+09,4.71E+09,12,9,70,0,4.93E+10,3.10E+09,4.62E+10,11.62,310240963.9,0.127641824,High
LNT,Utilities,10,0,0,5800000,61,413700000,33,1.08E+09,187100000,-1034300000,30100000,3522200000,346300000,-51100000,388400000,5.77E+08,18,12,44,0,12495200000,3924100000,8571100000,3.36,115595238.1,-0.05977111,Low
LUK,Financials,2,-295894000,81,4389732000,133,172073000,24,2439269000,908881000,1067441000,-5472653000,7407594000,2361089000,-638127000,252111000,-412289000,4,2,133,0,46339812000,10401211000,35813601000,0.74,340690540.5,-0.224353301,Low
LUV,Industrials,30,-2.04E+09,41,1.58E+09,54,1.02E+09,70,1.38E+10,9.00E+07,2.37E+08,1.06E+09,2.54E+09,0,3.01E+08,2.18E+09,4.12E+09,21,11,50,0,2.13E+10,7.36E+09,1.40E+10,3.3,660909090.9,0.017485846,High
LVLT,Telecommunications Services,34,-1.23E+09,61,8.62E+08,124,1.19E+09,48,3.96E+09,6.42E+08,0,2.30E+07,1.10E+10,0,2.74E+08,3.43E+09,1.33E+09,16,42,124,0,2.41E+10,1.01E+10,1.40E+10,9.71,353553038.1,0.100850545,High
LYB,Materials,68,-1.44E+09,46,9.31E+08,225,1.06E+09,22,7.05E+09,3.10E+08,4.16E+08,-7.86E+08,7.67E+09,2.13E+09,-1.07E+08,4.48E+09,6.12E+09,19,14,132,1.02E+08,2.28E+10,6.55E+09,1.62E+10,9.62,465280665.3,0.094596336,High
MA,Information Technology,63,-1.77E+08,130,7.18E+09,175,1.13E+09,100,9.67E+09,6.10E+07,2.10E+08,1.25E+08,3.27E+09,0,6.10E+08,3.81E+09,5.08E+09,53,39,175,0,1.63E+10,6.03E+09,1.02E+10,3.36,1133333333,0.129990674,High
MAR,Consumer Discretionary,24,-3.05E+08,3,9.60E+07,43,1.39E+08,15,2.12E+09,1.67E+08,1.40E+08,0,3.81E+09,3.80E+08,-8.00E+06,8.59E+08,1.35E+09,9,6,43,0,6.08E+09,-3.59E+09,9.67E+09,3.22,266770186.3,-0.140843242,Low
MAS,Industrials,263,-1.58E+08,61,1.47E+09,138,1.53E+08,32,2.25E+09,2.25E+08,3.50E+07,8.20E+07,2.40E+09,0,8.50E+07,3.55E+08,9.14E+08,13,5,110,0,5.66E+09,-1.35E+08,5.80E+09,1.03,344660194.2,0.123015789,High
MAT,Consumer Discretionary,14,-254181000,54,892814000,194,265427000,49,2806358000,85270000,-61509000,248047000,1.80E+09,0,-78836000,369416000,540922000,9,6,159,0,6552689000,2633254000,3919435000,1.08,342051851.9,-0.1221325,Low
MCD,Consumer Discretionary,64,-1813900000,260,7685500000,327,1555700000,39,9789200000,0,0,303600000,24122100000,792700000,5607600000,4529300000,7145500000,28,18,323,0,37938700000,7087900000,30850800000,4.82,939688796.7,0.260832474,High
MCO,Financials,167,-8.90E+07,183,1757400000,266,113500000,72,2508200000,115100000,4600000,103500000,3.40E+09,0,537900000,941300000,1473400000,42,27,266,0,5123400000,-5.65E+08,5688400000,4.7,200276595.7,0.047281057,High
MDLZ,Consumer Staples,26,-1.51E+09,17,1.87E+09,82,8.94E+08,39,1.15E+10,1.01E+09,-5.44E+08,6.00E+08,1.46E+10,5.39E+09,2.39E+08,7.27E+09,8.90E+09,30,25,58,0,6.28E+10,2.80E+10,3.48E+10,4.49,1618485523,0.234241606,High
MHK,Consumer Discretionary,13,-503657000,3,81692000,100,362647000,30,2410686000,71086000,0,-23725000,1196928000,0,-16185000,615302000,837566000,10,8,50,0,9942364000,4854173000,5088191000,2.59,237568339.8,0.219039636,High
MJN,Consumer Staples,103,-173700000,136,1701400000,208,99100000,64,2.62E+09,6.50E+07,0,2700000,2.98E+09,0,403700000,653500000,975200000,24,16,169,108400000,3998100000,-632300000,4630400000,3.28,199237804.9,-0.214740439,Low
MLM,Materials,7,-318232000,46,168409000,295,263587000,20,721767000,76287000,1808000,-40053000,1553649000,0,59758000,288792000,479416000,14,8,167,0,6961732000,4057284000,2904448000,4.31,67005104.41,0.238034826,High
MMM,Industrials,42,-1.46E+09,27,1.80E+09,154,1.44E+09,49,1.49E+10,1.49E+08,1.30E+09,-7.35E+08,8.75E+09,1.26E+08,-9.90E+07,4.83E+09,6.95E+09,23,16,105,1.76E+09,3.29E+10,1.14E+10,2.15E+10,7.72,626036269.4,-0.083252236,Low
MO,Consumer Staples,182,-2.29E+08,33,2.37E+09,86,2.25E+08,44,1.11E+10,8.17E+08,-1.32E+08,3.56E+08,1.29E+10,6.72E+09,-9.52E+08,5.24E+09,8.36E+09,33,21,57,0,3.25E+10,2.88E+09,2.97E+10,2.67,1962921348,0.181449137,High
MOS,Materials,10,-1000300000,62,1276300000,202,772200000,19,1717900000,97800000,-172700000,263800000,3769500000,980500000,-1098300000,1000400000,1278800000,14,11,126,0,17389500000,9531800000,7857700000,2.79,358566308.2,-0.395618865,Low
MPC,Energy,22,-2.00E+09,18,1.13E+09,149,1.65E+09,22,1.62E+10,0,-1.55E+09,-2.40E+09,1.19E+10,3.62E+09,-3.67E+08,2.85E+09,4.49E+09,6,4,67,0,4.31E+10,1.32E+10,2.99E+10,5.29,539130434.8,-0.425659219,Low
MRK,Health Care,10,-1.28E+09,70,8.52E+09,155,6.38E+09,62,2.46E+10,0,3.87E+09,-5.88E+08,2.39E+10,1.30E+10,1.08E+09,4.44E+09,6.93E+09,18,11,131,6.70E+09,1.02E+11,4.47E+10,5.71E+10,1.58,2811392405,-0.06990669,Low
MRO,Energy,12,-3.48E+09,71,1.22E+09,150,2.96E+09,69,3.83E+09,0,7.70E+07,-9.65E+08,7.28E+09,1.00E+09,-1.18E+09,-2.20E+09,-3.03E+09,55,40,132,0,3.23E+10,1.86E+10,1.38E+10,-3.26,676073619.6,-0.554966435,Low
MTD,Health Care,61,-82506000,18,98887000,142,64038000,56,1351993000,27451000,-5415000,23703000,575138000,0,13624000,352820000,490008000,20,15,104,119076000,1959335000,580457000,1378878000,12.75,27672156.86,0.121239222,High
MUR,Energy,43,-2549736000,27,283183000,86,1751097000,70,1954810000,117375000,217352000,0,3040594000,0,-910125000,-2270833000,-3332217000,120,81,77,0,11493812000,5306728000,6187084000,-13.03,174277283.2,-0.555621516,Low
NBL,Energy,24,-2.98E+09,57,1.03E+09,126,2.13E+09,69,2.20E+09,2.63E+08,1.08E+08,-5.28E+08,7.98E+09,0,-1.55E+08,-2.44E+09,-2.47E+09,78,77,126,0,2.42E+10,1.04E+10,1.38E+10,-6.07,402141680.4,-0.305713683,Low
NEE,Utilities,12,-3.51E+09,6,5.71E+08,67,3.20E+09,51,8.89E+09,1.21E+09,-4.24E+09,-1.40E+08,2.67E+10,2.99E+09,-6.00E+06,2.75E+09,4.63E+09,26,16,55,0,8.25E+10,2.26E+10,5.99E+10,6.11,450409165.3,-0.022579753,High
NEM,Materials,2,-1.40E+09,198,2.78E+09,352,1.24E+09,44,3.42E+09,3.25E+08,2.90E+07,0,6.09E+09,4.02E+08,3.79E+08,2.20E+08,1.16E+09,15,3,238,2.89E+08,2.52E+10,1.14E+10,1.38E+10,0.43,511627907,-0.048148148,High
NFLX,Information Technology,6,-91248000,65,1809330000,154,3547045000,32,2188035000,132716000,-8074000,172560000,2371362000,0,695722000,122641000,305826000,5,2,154,650788000,10202871000,2223426000,7979445000,0.29,422900000,-0.665173753,Low
